,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location,latitude,longitude,Zipcode
10,100100638,2/20/10,2/20/10,100,1,Central,164,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,O,101.0,STREET,,,AA,Adult Arrest,740.0,,,,100 W  7TH                          ST,,"(34.0439, -118.2514)",34.0439,-118.2514,90014
11,100100650,2/25/10,2/25/10,30,1,Central,111,310,BURGLARY,0344 1251,20,F,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,500 N  FIGUEROA                     ST,,"(34.0617, -118.2469)",34.0617,-118.2469,90012
12,100100654,2/27/10,2/27/10,1955,1,Central,174,946,OTHER MISCELLANEOUS CRIME,,0,M,W,101.0,STREET,,,AA,Adult Arrest,946.0,,,,W  7TH                          ST,S  SPRING                       ST,"(34.0445, -118.2523)",34.0445,-118.2523,90014
13,100100660,3/1/10,3/1/10,100,1,Central,148,648,ARSON,1501,0,M,O,101.0,STREET,,,IC,Invest Cont,648.0,,,,5TH,SAN PEDRO                    ST,"(34.0435, -118.2427)",34.0435,-118.2427,90013
14,100100697,3/12/10,3/12/10,1520,1,Central,151,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,0,M,X,101.0,STREET,,,AA,Adult Arrest,341.0,998.0,,,7TH,FIGUEROA,"(34.0499, -118.2614)",34.0499,-118.2614,90017
15,100100725,3/18/10,3/18/10,15,1,Central,145,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",400,27,F,W,210.0,RESTAURANT/FAST FOOD,512.0,MACE/PEPPER SPRAY,AA,Adult Arrest,230.0,,,,400 S  MAIN                         ST,,"(34.0482, -118.2472)",34.0482,-118.2472,90013
16,100100726,3/19/10,3/19/10,1000,13,Newton,1307,624,BATTERY - SIMPLE ASSAULT,0416 0429 0917 1804,32,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 E  8TH                          ST,,"(34.0371, -118.2475)",34.0371,-118.2475,90014
17,100100733,3/21/10,3/21/10,1000,11,Northeast,1171,946,OTHER MISCELLANEOUS CRIME,1402,0,M,W,102.0,SIDEWALK,,,IC,Invest Cont,946.0,998.0,,,WAVERLY,SUNSET                       BL,"(34.0917, -118.2741)",34.0917,-118.2741,90026
18,100100738,3/22/10,3/19/10,1730,1,Central,195,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552,5,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,627.0,,,,1800 S  MAIN                         ST,,"(34.0317, -118.2641)",34.0317,-118.2641,90015
19,100100740,3/25/10,3/22/10,1915,1,Central,142,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",416,49,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,4TH                          ST,GRAND                        AV,"(34.0516, -118.2526)",34.0516,-118.2526,90071
20,100100744,3/23/10,3/23/10,230,1,Central,101,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0311 0329 0906,62,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,1200    INNES                        AV,,"(34.0717, -118.2493)",34.0717,-118.2493,90012
21,100100753,3/25/10,3/25/10,240,1,Central,171,946,OTHER MISCELLANEOUS CRIME,0906 1501,32,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,946.0,,,,900    GEORGIA                      ST,,"(34.0475, -118.2657)",34.0475,-118.2657,90017
22,100100764,4/1/10,3/29/10,2320,1,Central,176,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,SAN PEDRO                    ST,9TH                          ST,"(34.0373, -118.2503)",34.0373,-118.2503,90014
23,100100792,4/10/10,4/10/10,1710,1,Central,135,210,ROBBERY,302,61,M,O,406.0,OTHER STORE,102.0,HAND GUN,IC,Invest Cont,210.0,,,,100 E  3RD                          ST,,"(34.0496, -118.2458)",34.0496,-118.2458,90013
24,100100799,4/12/10,4/12/10,1700,1,Central,111,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1251 1300,23,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,YALE,COLLEGE,"(34.0672, -118.2385)",34.0672,-118.2385,90012
25,100100802,4/14/10,4/14/10,1515,1,Central,155,946,OTHER MISCELLANEOUS CRIME,914,0,M,W,101.0,STREET,,,AA,Adult Arrest,946.0,,,,200 E  6TH                          ST,,"(34.0446, -118.249)",34.0446,-118.249,90014
26,100100803,4/14/10,4/14/10,915,1,Central,161,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,41,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,341.0,998.0,,,700 S  FIGUEROA                     ST,,"(34.0494, -118.2599)",34.0494,-118.2599,90071
27,100100812,4/16/10,4/16/10,800,1,Central,152,441,THEFT PLAIN - ATTEMPT,1402,0,M,O,101.0,STREET,,,IC,Invest Cont,441.0,998.0,,,7TH,OLIVE,"(34.0467, -118.2556)",34.0467,-118.2556,90014
28,100100826,4/17/10,4/17/10,1300,1,Central,124,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1402,0,M,O,101.0,STREET,,,IC,Invest Cont,745.0,998.0,,,1ST,MAIN                         ST,"(34.0522, -118.2434)",34.0522,-118.2434,90013
29,100100828,4/17/10,4/17/10,1900,1,Central,111,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0421 0432 1402,20,M,O,102.0,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,930.0,998.0,,,CESAR E CHAVEZ               BL,SPRING                       ST,"(34.0582, -118.2387)",34.0582,-118.2387,90012
30,100100832,4/18/10,4/18/10,330,1,Central,153,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,9,M,O,102.0,SIDEWALK,,,IC,Invest Cont,745.0,,,,500 S  HILL                         ST,,"(34.0488, -118.2518)",34.0488,-118.2518,90071
31,100100853,4/25/10,4/25/10,1415,1,Central,123,350,"THEFT, PERSON",344,60,M,H,101.0,STREET,,,IC,Invest Cont,350.0,,,,1ST,BROADWAY,"(34.0537, -118.2455)",34.0537,-118.2455,90071
32,100100861,4/30/10,4/29/10,1945,4,Hollenbeck,453,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,0,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,200 E  BOYLE                        ST,,"(34.0486, -118.2192)",34.0486,-118.2192,90033
33,100100862,4/30/10,4/30/10,2005,1,Central,185,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0311 0329 1402,9,F,H,102.0,SIDEWALK,,,IC,Invest Cont,745.0,998.0,,,9TH,MAIN                         ST,"(34.0411, -118.2545)",34.0411,-118.2545,90014
34,100100872,5/3/10,5/3/10,746,1,Central,124,755,BOMB SCARE,404,9,M,H,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",511.0,VERBAL THREAT,IC,Invest Cont,755.0,,,,200 N  SPRING                       ST,,"(34.054, -118.2435)",34.054,-118.2435,90012
35,100100877,5/5/10,5/5/10,1810,1,Central,158,624,BATTERY - SIMPLE ASSAULT,416,34,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7TH                          ST,CERES,"(34.0377, -118.2425)",34.0377,-118.2425,90013
36,100100879,5/5/10,5/5/10,1500,1,Central,182,310,BURGLARY,344,0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,998.0,,,1100 S  GRAND                        AV,,"(34.0416, -118.262)",34.0416,-118.262,90015
37,100100880,5/5/10,5/5/10,2125,1,Central,162,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,0,M,H,203.0,OTHER BUSINESS,,,AA,Adult Arrest,341.0,998.0,,,700 W  7TH                          ST,,"(34.048, -118.2577)",34.048,-118.2577,90071
38,100100888,5/6/10,5/6/10,1345,1,Central,129,946,OTHER MISCELLANEOUS CRIME,1402,9,M,O,101.0,STREET,,,IC,Invest Cont,946.0,998.0,,,ALAMEDA,COMMERCIAL,"(34.0537, -118.2379)",34.0537,-118.2379,90012
39,100100892,5/7/10,5/7/10,250,1,Central,195,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,18,M,H,203.0,OTHER BUSINESS,,,AA,Adult Arrest,740.0,,,,1700    MAPLE                        AV,,"(34.0308, -118.2602)",34.0308,-118.2602,90015
40,130310436,4/13/13,4/12/13,2100,3,Southwest,391,320,"BURGLARY, ATTEMPTED",1609 0329,40,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,320.0,,,,4200    DON JOSE                     DR,,"(34.0105, -118.3551)",34.0105,-118.3551,90008
41,100100898,5/10/10,5/10/10,115,1,Central,144,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,H,101.0,STREET,,,AA,Adult Arrest,740.0,,,,5TH                          ST,SPRING                       ST,"(34.0474, -118.2496)",34.0474,-118.2496,90014
42,100100928,5/13/10,5/13/10,1810,1,Central,122,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402,0,M,H,102.0,SIDEWALK,,,IC,Invest Cont,440.0,998.0,,,100 N  HILL                         ST,,"(34.0544, -118.2466)",34.0544,-118.2466,90071
43,100100936,5/17/10,5/17/10,1730,1,Central,182,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1222 2000,19,F,W,210.0,RESTAURANT/FAST FOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,11TH                         ST,FIGUEROA                     ST,"(34.0437, -118.2652)",34.0437,-118.2652,90015
44,100100949,5/19/10,5/19/10,715,1,Central,153,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 2004,31,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740.0,,,,5TH,WALL,"(34.0446, -118.245)",34.0446,-118.245,90013
45,100100957,5/20/10,5/20/10,1300,1,Central,195,946,OTHER MISCELLANEOUS CRIME,,0,M,H,102.0,SIDEWALK,,,IC,Invest Cont,946.0,998.0,,,1300 S  LOS ANGELES                  ST,,"(34.0357, -118.2593)",34.0357,-118.2593,90015
46,100100963,5/22/10,5/22/10,2345,1,Central,118,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,34,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,200    LEROY                        ST,,"(34.0649, -118.2289)",34.0649,-118.2289,90012
47,100100964,5/22/10,5/22/10,220,1,Central,141,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1609,41,F,H,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740.0,,,,400 S  FIGUEROA                     ST,,"(34.0535, -118.256)",34.0535,-118.256,90071
48,100100978,5/30/10,5/30/10,215,1,Central,111,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,45,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,ARCADIA,BROADWAY,"(34.0571, -118.2422)",34.0571,-118.2422,90012
49,100101000,6/5/10,5/15/10,1000,1,Central,182,310,BURGLARY,0344 1606,30,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,700 W  OLYMPIC                      BL,,"(34.0444, -118.2628)",34.0444,-118.2628,90015
50,100101011,6/7/10,6/7/10,45,1,Central,124,624,BATTERY - SIMPLE ASSAULT,416,9,F,H,207.0,BAR/COCKTAIL/NIGHTCLUB,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,200 N  MAIN                         ST,,"(34.0532, -118.2425)",34.0532,-118.2425,90013
51,100101023,6/10/10,6/10/10,1935,1,Central,138,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,29,F,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,998.0,,,300 S  WALL                         ST,,"(34.048, -118.2438)",34.048,-118.2438,90013
52,100101035,6/13/10,6/12/10,2058,1,Central,176,310,BURGLARY,0344 0358 1609,47,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,800    SAN JULIAN                   ST,,"(34.0394, -118.2496)",34.0394,-118.2496,90014
53,100101039,6/14/10,6/14/10,1645,1,Central,119,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,400,0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,235.0,,,,900 N  VIGNES                       ST,,"(34.0566, -118.2319)",34.0566,-118.2319,90012
54,100101040,6/14/10,6/14/10,1635,1,Central,119,237,CHILD NEGLECT (SEE 300 W.I.C.),,6,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,237.0,,,,900 N  VIGNES                       ST,,"(34.0566, -118.2319)",34.0566,-118.2319,90012
55,100101041,6/14/10,6/14/10,730,1,Central,152,330,BURGLARY FROM VEHICLE,0344 1251 1307,51,F,O,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,400 W  7TH                          ST,,"(34.0459, -118.2545)",34.0459,-118.2545,90014
56,100101067,6/17/10,6/17/10,2310,1,Central,185,647,THROWING OBJECT AT MOVING VEHICLE,1300,0,M,H,101.0,STREET,,,IC,Invest Cont,647.0,,,,VENICE,FLOWER,"(34.037, -118.2688)",34.037,-118.2688,90015
57,100101072,6/17/10,6/17/10,2100,1,Central,192,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,740.0,,,,FLOWER,9TH                          ST,"(34.0444, -118.2628)",34.0444,-118.2628,90015
58,100101073,6/17/10,6/17/10,2100,1,Central,182,886,DISTURBING THE PEACE,,0,M,H,101.0,STREET,,,IC,Invest Cont,886.0,,,,FLOWER                       ST,9TH                          ST,"(34.0444, -118.2628)",34.0444,-118.2628,90015
59,100101074,6/17/10,6/17/10,2250,1,Central,182,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,0,M,H,203.0,OTHER BUSINESS,,,AA,Adult Arrest,740.0,,,,1100 S  OLIVE                        ST,,"(34.0409, -118.2609)",34.0409,-118.2609,90015
60,100101075,6/19/10,6/17/10,2100,1,Central,192,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300 1402,25,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,998.0,,,15TH,OLIVE,"(34.0359, -118.2648)",34.0359,-118.2648,90015
61,100101093,6/22/10,6/22/10,300,1,Central,152,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,56,M,H,101.0,STREET,,,IC,Invest Cont,740.0,,,,HILL                         ST,6TH                          ST,"(34.0474, -118.2531)",34.0474,-118.2531,90014
62,100101095,6/23/10,6/17/10,2100,1,Central,162,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,0,M,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,9TH                          ST,FLOWER                       ST,"(34.0458, -118.2614)",34.0458,-118.2614,90017
63,100101179,7/6/10,7/6/10,1500,1,Central,111,330,BURGLARY FROM VEHICLE,0344 0358 1251 1307 1402 1609,25,F,O,101.0,STREET,,,IC,Invest Cont,330.0,998.0,,,NEW DEPOT                    ST,ALPINE                       ST,"(34.0639, -118.2446)",34.0639,-118.2446,90012
64,100101206,7/12/10,7/12/10,1300,1,Central,132,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,35,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,800 W  1ST                          ST,,"(34.0571, -118.2509)",34.0571,-118.2509,90071
65,100101209,7/13/10,7/13/10,1240,1,Central,111,623,BATTERY POLICE (SIMPLE),0400 0416 1212 1402,0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,998.0,,,HILL                         ST,COLLEGE,"(34.065, -118.2384)",34.065,-118.2384,90012
66,100101225,7/15/10,7/15/10,2040,1,Central,174,946,OTHER MISCELLANEOUS CRIME,0906 1212 1402,9,M,H,101.0,STREET,,,AA,Adult Arrest,946.0,998.0,,,700 S  MAIN                         ST,,"(34.0439, -118.2514)",34.0439,-118.2514,90014
67,100101237,7/15/10,7/15/10,1930,1,Central,162,220,ATTEMPTED ROBBERY,400,0,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,220.0,,,,HILL                         ST,7TH                          ST,"(34.0445, -118.2558)",34.0445,-118.2558,90014
68,100101244,7/16/10,7/16/10,2200,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0417 0429 1402,24,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,998.0,,,SAN JULIAN                   ST,6TH                          ST,"(34.0428, -118.2461)",34.0428,-118.2461,90013
69,100101245,7/17/10,7/17/10,440,1,Central,152,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",329,24,M,H,203.0,OTHER BUSINESS,,,AA,Adult Arrest,740.0,,,,OLIVE                        ST,7TH                          ST,"(34.0467, -118.2556)",34.0467,-118.2556,90014
70,100101258,7/21/10,7/18/10,2200,1,Central,171,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0416 0417 0429,32,M,H,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,341.0,624.0,,,800 W  OLYMPIC                      BL,,"(34.045, -118.264)",34.045,-118.264,90015
71,100101260,7/19/10,7/19/10,2205,1,Central,171,210,ROBBERY,0334 0337 0344 0416 1402,0,M,H,108.0,PARKING LOT,301.0,BELT FLAILING INSTRUMENT/CHAIN,AO,Adult Other,210.0,998.0,,,FIGUEROA,11TH                         ST,"(34.0437, -118.2652)",34.0437,-118.2652,90015
72,100101262,7/21/10,7/21/10,1700,1,Central,148,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,0,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,5TH,TOWNE,"(34.0426, -118.2412)",34.0426,-118.2412,90013
73,100101283,7/28/10,7/27/10,5,1,Central,156,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),552,12,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,812.0,998.0,,,500 S  SAN PEDRO                    ST,,"(34.0442, -118.2439)",34.0442,-118.2439,90013
74,100101297,8/1/10,8/1/10,115,1,Central,101,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,9,M,O,101.0,STREET,,,IC,Invest Cont,745.0,,,,900    EVERETT                      ST,,"(34.0673, -118.2499)",34.0673,-118.2499,90012
75,100101298,8/1/10,8/1/10,1100,1,Central,162,624,BATTERY - SIMPLE ASSAULT,0400 0416 0429,60,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,500 W  7TH                          ST,,"(34.0467, -118.2556)",34.0467,-118.2556,90014
76,100101307,8/5/10,8/5/10,1410,1,Central,185,623,BATTERY POLICE (SIMPLE),1212,0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,,,,300 E  12TH                         ST,,"(34.0363, -118.2573)",34.0363,-118.2573,90015
77,100101319,8/7/10,8/6/10,1730,1,Central,176,310,BURGLARY,0344 1307 1609,29,F,O,402.0,MARKET,,,IC,Invest Cont,310.0,,,,300 E  8TH                          ST,,"(34.0413, -118.2517)",34.0413,-118.2517,90014
78,100101329,8/11/10,8/11/10,1630,1,Central,166,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1402,60,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AA,Adult Arrest,341.0,998.0,,,500 E  7TH                          ST,,"(34.0412, -118.2474)",34.0412,-118.2474,90014
79,100101330,8/12/10,8/11/10,2140,1,Central,166,231,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,0103 0319 0373 0416 0417 1212 1218 1402 2002,0,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,231.0,,,,6TH,SAN PEDRO,"(34.0423, -118.2452)",34.0423,-118.2452,90013
80,100101378,8/23/10,8/23/10,20,1,Central,119,888,TRESPASSING,,40,M,W,215.0,"TRAIN DEPOT/TERMINAL, OTHER THAN MTA",,,IC,Invest Cont,888.0,,,,800 N  ALAMEDA                      ST,,"(34.0563, -118.2374)",34.0563,-118.2374,90012
81,100101419,9/4/10,9/4/10,1735,1,Central,159,210,ROBBERY,0344 0400,0,M,H,202.0,LIQUOR STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,,,,1800    INDUSTRIAL                   ST,,"(34.0359, -118.2344)",34.0359,-118.2344,90021
82,100101435,9/9/10,9/8/10,1155,1,Central,138,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,40,M,W,102.0,SIDEWALK,,,AA,Adult Arrest,341.0,,,,200    BOYD                         ST,,"(34.0478, -118.2454)",34.0478,-118.2454,90013
83,100101453,9/19/10,9/18/10,1325,1,Central,143,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,416,7,M,B,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627.0,,,,5TH,HILL,"(34.0488, -118.2518)",34.0488,-118.2518,90071
84,100101469,9/25/10,9/24/10,2045,1,Central,138,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300,0,M,O,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,,,,BOYD,SAN PEDRO,"(34.0467, -118.2427)",34.0467,-118.2427,90013
85,100101477,9/25/10,9/25/10,1430,1,Central,158,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0400 1300 1310 2000,32,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,624.0,,,900 E  7TH                          ST,,"(34.039, -118.2444)",34.039,-118.2444,90013
